Points_0,Points_1,Points_2,vel1
0.5,0,0,0.0510423
0.5,0.0182927,0,0.0973209
0.5,0.0304878,0,0.178706
0.5,0.0426829,0,0.227382
0.5,0.054878,0,0.299133
0.5,0.0670732,0,0.343899
0.5,0.0792683,0,0.407402
0.5,0.0914634,0,0.447754
0.5,0.103659,0,0.503805
0.5,0.115854,0,0.539743
0.5,0.128049,0,0.588971
0.5,0.140244,0,0.620646
0.5,0.152439,0,0.663585
0.5,0.164634,0,0.691216
0.5,0.176829,0,0.72835
0.5,0.189024,0,0.752188
0.5,0.20122,0,0.783971
0.5,0.213415,0,0.804283
0.5,0.22561,0,0.831151
0.5,0.237805,0,0.848216
0.5,0.25,0,0.870595
0.5,0.262195,0,0.884693
0.5,0.27439,0,0.903001
0.5,0.286585,0,0.914415
0.5,0.298781,0,0.929066
0.5,0.310976,0,0.93808
0.5,0.323171,0,0.949486
0.5,0.335366,0,0.956381
0.5,0.347561,0,0.964951
0.5,0.359756,0,0.970011
0.5,0.371951,0,0.976151
0.5,0.384146,0,0.979659
0.5,0.396341,0,0.983777
0.5,0.408537,0,0.986015
0.5,0.420732,0,0.988517
0.5,0.432927,0,0.989771
0.5,0.445122,0,0.991061
0.5,0.457317,0,0.991621
0.5,0.469512,0,0.992095
0.5,0.481707,0,0.992256
0.5,0.493902,0,0.992334
0.5,0.506098,0,0.992334
0.5,0.518293,0,0.992256
0.5,0.530488,0,0.992095
0.5,0.542683,0,0.991621
0.5,0.554878,0,0.991061
0.5,0.567073,0,0.989771
0.5,0.579268,0,0.988517
0.5,0.591463,0,0.986015
0.5,0.603659,0,0.983777
0.5,0.615854,0,0.979659
0.5,0.628049,0,0.976151
0.5,0.640244,0,0.970011
0.5,0.652439,0,0.964951
0.5,0.664634,0,0.956381
0.5,0.676829,0,0.949486
0.5,0.689024,0,0.93808
0.5,0.701219,0,0.929066
0.5,0.713415,0,0.914415
0.5,0.72561,0,0.903001
0.5,0.737805,0,0.884693
0.5,0.75,0,0.870595
0.5,0.762195,0,0.848216
0.5,0.77439,0,0.831151
0.5,0.786585,0,0.804283
0.5,0.798781,0,0.783971
0.5,0.810976,0,0.752188
0.5,0.823171,0,0.72835
0.5,0.835366,0,0.691216
0.5,0.847561,0,0.663585
0.5,0.859756,0,0.620646
0.5,0.871951,0,0.588971
0.5,0.884146,0,0.539742
0.5,0.896341,0,0.503805
0.5,0.908537,0,0.447754
0.5,0.920732,0,0.407402
0.5,0.932927,0,0.343899
0.5,0.945122,0,0.299133
0.5,0.957317,0,0.227382
0.5,0.969512,0,0.178706
0.5,0.981707,0,0.0973208
0.5,1,0,nan
