Nodes,Mem (GB),cu_mpi,init (s),sim (s),ts avg,ts samples,mpi avg,mpi samples,perf (ns/gp/eq/rhs)
1,256,False,0.78228,10.993473,0.55236246875,160,0.0032898858858858926,1332,1.2684522627851749
1,256,True,0.7699069999999999,10.64839,0.53457416875,160,0.0012507031674208378,1105,1.2223805771266334
1,384,False,0.9878420000000001,16.674395,0.8351776312499999,160,0.0045095784753363365,1338,1.284145289684361
1,384,True,0.983143,16.20252,0.8115623207547169,159,0.0019037049319727884,1176,1.2455874499552813
1,512,False,1.2259859999999998,22.348525,1.1188940566037735,159,0.005110596399099777,1333,1.3054483601764095
1,512,True,1.21174,21.825543999999997,1.092060025,160,0.0021015926243567753,1166,1.2713453466351454
2,256,False,2.511199,5.893336,0.2914565157232704,318,0.002681413193185914,2759,1.3343184871537688
2,256,True,2.859752,5.517664000000001,0.275042503164557,316,0.0010452259051504434,1961,1.2436676997316218
2,384,False,3.7318029999999998,8.414553,0.417478453125,320,0.0032309229645856334,2739,1.2738489162321733
2,384,True,3.385227,7.920814999999999,0.3958618152866242,314,0.0011249208211143791,2046,1.2015030165902987
2,512,False,3.492416,11.352879,0.5645620031249999,320,0.0038030866643084422,2827,1.303596487168097
2,512,True,3.824939,10.814808000000001,0.5403941640378549,317,0.0016611391872956498,2141,1.2386261661076714
4,256,False,6.717326,3.1464119999999998,0.15421333704292528,629,0.002369320396722725,4638,1.369447431885964
4,256,True,0.5642510000000001,2.7891909999999998,0.13875098352553542,607,0.0009338023046453002,2777,1.2189703427753462
4,384,False,8.32898,4.648219000000001,0.22771528955696202,632,0.003142464307138552,5001,1.3928322697882483
4,384,True,0.712849,4.137892,0.20650267628205127,624,0.0011615123834030274,3109,1.2316299770528
4,512,False,6.543058,6.22809,0.30725551188589545,631,0.0036432530095898744,4901,1.4038771682642979
4,512,True,0.858175,5.6376040000000005,0.2812968239095315,619,0.0012352402869097367,3346,1.2680169417817755
8,256,False,6.706099999999999,1.9046999999999992,0.09074809163987138,1244,0.002341343848580441,7291,1.6203679279871694
8,256,True,0.5598639999999999,1.4925209999999998,0.07409118409680208,1157,0.0006805549113233255,2932,1.2594827183922346
8,384,False,3.806572,2.732292,0.1314515205479452,1241,0.0028625907490591237,8237,1.5905246407206688
8,384,True,1.9517989999999998,2.246972,0.11154594566170026,1141,0.0012700469874100712,4448,1.297702655510485
8,512,False,8.763918,3.4496129999999994,0.16681015550239234,1254,0.003036444419030193,8744,1.5163878373698276
8,512,True,0.6273299999999999,2.858919,0.1422007477178423,1205,0.0009623072164948468,3880,1.2485840090969693
